appid,name,description,price,release_date,developer,publisher,tags
1478464,LET IT DIE -(Special)10 Death Metals- 028,"Special offer: one chance per person! You can use these 10 Death Metal to continue your game after your die, and expand your storage among other things.",₹ 42,"24 Feb, 2021",GRASSHOPPER MANUFACTURE INC.,GungHo Online Entertainment America,"Action, Free To Play"
1478465,LET IT DIE -(Special)50 Death Metals- 025,"Special offer: one chance per person! You can use these 50 Death Metal to continue your game after your die, and expand your storage among other things.",₹ 349,"24 Feb, 2021",GRASSHOPPER MANUFACTURE INC.,GungHo Online Entertainment America,"Action, Free To Play"
1478466,LET IT DIE -(Special)Express Pass- 009,Special offer: one chance per person!,₹ 199,"24 Feb, 2021",GRASSHOPPER MANUFACTURE INC.,GungHo Online Entertainment America,"Action, Free To Play"
1478470,Fishy But In 2.5D,"Fishy But In 2.5D is a 2.5D side Scroller platformer with 8 worlds Plains, UnderWater, Ice, lava, WireFrame, Urban, Factory, And Space with 4 levels per world totaling 32 levels total! Unlike the 1st fishy their are enemy AI and power ups this time around",₹ 199,"3 Dec, 2020",keron veal,keron veal,"Action, Adventure, Casual, Indie"
1478480,Fizik,"Run, slide, bounce, grapple and wall-run your way through a neon simulation. Push your speed running capabilities to the limit, test your parkour skills and watch out for secret collectables. Good luck...",₹ 125,"11 Jan, 2021",Jaden Romilio,Romilio Games,"Action, Indie"
1478500,Big Walk,Hang out and get lost with close friends in a big world. A cooperative online walker-talker from the creators of Untitled Goose Game.,N/A,2025,House House,Panic,Adventure
1478510,LOST EPIC MINI SOUNDTRACK,A mini sound track from 『LOST EPIC』the newest game from Team EARTH WARS. Out now for free for a limited time to celebrate the goal of the twitter follow campaign!,N/A,"24 Dec, 2020",oneoreight,oneoreight,
1478560,The Tower Of TigerQiuQiu Tiger Bomber,"AboutThe bad news is that you're trapped in a collapsed tunnel and the good news is that you have plenty of bombs. The second bad news is that you're being hunted down, and the second good news is that they're trapped in the tunnel. Use your bombs to destroy them.",₹ 155,"17 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1478590,Enemy Remains,"Atmospheric horror shooter, offering a blend of intense action and survival horror.",₹ 200,"6 Feb, 2022",GameRealmMadness,GameRealmMadness,"Action, Adventure"
1478600,Amulet of Time: Shadow of La Rochelle,"When the ghost of the beautiful Diane de Poitiers appears in front of you, you are transported back in time in &quot;Amulet of Time: Shadow of la Rochelle&quot;! Explore France and an incredible love story in this amazing Hidden Object Adventure game.",₹ 259,"4 Dec, 2020",GFI,HH-Games,"Adventure, Casual, Indie"
1478620,Return of the Heir,"Return of the Heir is an adventure-platform game set in a fantasy world. After your return from the war, your castle is taken over by evil orcs. Take it back, save your family members and recover the stolen treasure. Use your archery skills to defeat your enemies.",₹ 199,"16 Dec, 2020",Prime Bit Games SA,Prime Bit Games SA,Adventure
1478630,Brutality club,This is a one-on-one fighting simulator.,₹ 105,"11 Dec, 2020",Denis Kadykov,Kadykov Denis,"Indie, Sports"
1478650,Diggles: The Myth of Fenris,"It`s impossible to refuse to help Odin when he asks to find his pet, Fenris, the hound of Hell. A mix of cinematic adventure and a colony building strategy that will take you deep down to the underground world of dwarfs.",₹ 349,"14 Dec, 2020",Spieleentwicklungskombinat GmbH,SNEG,"Adventure, Strategy"
1478670,Smashing time,"VR destruction simulation, destroy everything in the museum, the oval office, a restaurant or a simple flat ! Wreak havoc and let the devil out !",₹ 165,"29 Sep, 2021",Net-assembly,Net-assembly,"Casual, Simulation"
1478700,Motherboard,"Motherboard is an action-adventure game, settled inside the computer! Take on the role of the Bit - one of the inhabitants of the motherboard and help him to save the world from viruses!",N/A,To be announced,95 pixels,95 pixels,"Action, Adventure, Indie"
1478710,Affectus,"A cyberpunk stealth-action RPG set in a decadent and sick megalopolis, where the only way to feel good is a drug called Affectus. With no memory, you must unravel the mysteries of your past. Acquire implants, infiltrate, hack, or fight to uncover a vast conspiracy and find a cure to the virus.",N/A,To be announced,Affectus Games,Affectus Games,"Action, Adventure, RPG"
1478720,Yakuza 6: The Song of Life - Clan Creator Card Bundle,"6 yakuza legends swear into your Clan Creator family, the tower defense game within Yakuza 6! Includes the SSR creator cards Daigo Dojima, Goro Majima, Kazuma Kiryu, and more. Also gives yen and XP boosts for the main game.",₹ 415,"25 Mar, 2021",Ryu Ga Gotoku Studio,SEGA,"Action, Adventure"
1478730,Tune My Car,Tune My Car is a complex car mechanic simulation game in which the player retrieves scrapped cars and gives them second life by means of tuning.,N/A,To be announced,TF Games,TF Games,"Racing, Simulation, Strategy"
1478751,Star Conflict - Tornado,This pack includesGunship fighter “Tornado”Active module “Tornado systems overcharge”Special bonus for everyone who buys the bundle — Premium license for 30 days!,"₹ 2,499","2 Dec, 2020",Star Gem Inc.,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free To Play"
1478760,The Tower Of TigerQiuQiu Bomber Level Up,"AboutYou can get some supplies from the walls: some medicine, an extra life, sneakers, bomb timers, bomb kits. Blow up some more walls and search for supplies. Don't forget to defeat all your enemies.",₹ 155,"17 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1478780,You Are Weak,A ritual for the darkest of times. A game about community and change in a fractured world.,₹ 125,"20 Oct, 2021",Outlands,Outlands,Indie
1478810,War Thunder - T-72AV (TURMS-T) Pack,The Premium export T-72AV (TURMS-T) with 15 days of Premium account and 2000 Golden Eagles - for the inborn War Thunder tankmen!,"₹ 5,499","23 Nov, 2020",Gaijin Entertainment,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free To Play"
1478830,Baobabs Mausoleum Grindhouse Edition - Country of Woods and Creepy Tales,"CONTAINS ALL EPISODES! Follow Watracio Walpurgis, our fresh eggplant FBI agent, in this arc of three chapters that unifies the universe of Celery Emblem’s Jacob Jazz on the ultimate Baobabs Masoleum Grindhouse Edition.",₹ 489,"26 Feb, 2021",Celery Emblem™,Celery Emblem™,"Adventure, Indie"
1478850,Vendir: Plague of Lies,"Vendir: Plague of Lies is a classic party-based RPG with a deep storyline and turn-based combat. Experience an intricately crafted world, steeped in history and brought to life through a carefully crafted atmosphere and the trials and tribulations of stories of the people that inhabit it.",₹ 690,"30 May, 2024",Early Morning Studio,Early Morning Studio,RPG
1478880,Sep's Diner,"Welcome to Sep’s Diner, the new burger restaurant of which YOU are the Chef! Will it really become the best burger in town? It’s up to you now!",₹ 399,"15 Dec, 2020",Scale-1 Portal,Scale-1 Portal,Simulation
1478910,Summer Camp,"Take part in a Summer Camp adventure. Earn Scouting badges, build and develop new campsites, find Bigfoot and play pranks. A lot of pranks.",N/A,Coming soon,Duality Games,Duality Games,"Casual, Indie, Simulation"
1478960,Ring Racer,Ring Racer is an endless runner where you race in a procedural generated universe,₹ 165,"12 May, 2021",Cube2d,Cube2d,"Action, Casual, Indie, Racing"
1478980,Pinball,11 Fantasy Pinball Arcade Games,"₹ 1,165","29 Dec, 2020",Hubel,Hubel,"Action, Adventure, Casual, Indie"
1479000,Shredded Secrets,"“Be kind; Everyone you meet is fighting a hard battle.” Shredded Secrets is a charming story-based 2D platformer that lets you step into the lives of four people at a middle school - Isabella, Taylor, London and Oakley.",₹ 199,"7 Dec, 2020",Girls Make Games,Girls Make Games,"Adventure, Indie"
1479010,Christmas day,"Christmas Day is a one - day simulator. Just enjoy the atmosphere of Christmas. It`s not a game, it`s just one room filled with festive comfort and warmth.",₹ 125,"24 Dec, 2020",Doshu Games,Doshu Games,"Indie, Simulation"
1479020,Life of A Yandere Simp,"Life of a Yandere Simp is a simulation game inside a university where you, a simp, have to find out who is interested in your love interest and eliminate them.",₹ 125,"24 Dec, 2020",Bacchus,Bacchus,"Adventure, Casual, Indie, Simulation"
1479030,2ECONDS TO STΔRLIVHT: My Heart's Reflection,"&quot;The day I put that uniform on, I saw myself in the mirror for the first time. And I dared to think, maybe, just maybe...&quot; A free VN about standing up to the world to be yourself. Part of the NOISZ series, and prequel to NOISZ STΔRLIVHT.",N/A,"22 Jan, 2021",SKY HOUR WORKS,Anarch Entertainment,"Casual, Free To Play, Indie"
1479070,Fantasy Grounds - Pathfinder 2 RPG - Pathfinder Society Scenario #2-02: Mountain of Sea and Sky,Pathfinder 2 RPG - Pathfinder Society Scenario #2-02: Mountain of Sea and Sky A Pathfinder Society Scenario designed for levels 3-6.Venture-Captain Amari Li has called for assistance in establishing new Pathfinder lodges throughout Tian Xia!,₹ 199,"1 Dec, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1479080,Oceanarium,"Oceanarium is a meditative underwater interplanetary exploration game about all the forces that tie the strange creatures of the universe together. You’ll receive mysterious messages, learn how to astral project, and conquer gravity as you navigate a fantastic deep sea galaxy full of alien species.",N/A,Coming soon,Paloma Dawkins,Apocabliss Studio,"Adventure, Casual, Free To Play, Indie"
1479090,The Cruel Dreamer Marchosias,"Join Wolf on their mission to right the atrocity committed against their family. Together with the mysterious entity 'IV', Wolf will brave the monsters lurking in the shadows, explore long-forgotten ruins and solve mysterious puzzles in order to reach an ancient castle located between worlds.",₹ 379,"24 Jun, 2022",Dakoda Brattan,Lucky Panther Games,"Adventure, Casual, Indie"
1479100,Worst Nightmare,Worst nightmare is a first person horror puzzle game. A game about living through a nightmare.,₹ 530,"20 Jan, 2021",Marca59,Marca59,Indie
1479120,Pokon Factory Survival,"Pokon Factory Survival is a 3D infinite world game. Mining resources, creating materials for spaceships, and escaping.",₹ 329,"7 Dec, 2020",rukusu,rukusu,Strategy
1479210,Hustomten,Collect snacks to keep your resident house elf happy until midnight of Christmas Eve.,₹ 85,"14 Dec, 2020",Black Curtain Studio,Black Curtain Studio,"Action, Indie"
1479240,Turbo Sliders Unlimited - Customization Pack 01,"Adds lots of customization options to your paint jobs: at least 20 paint textures of various styles, 4 new colors, 1 more paint command, and increased maximum metallicness and smoothness.",₹ 105,"27 Apr, 2022",Antti Mannisto,Antti Mannisto,"Casual, Indie, Racing, Simulation, Sports"
1479241,Turbo Sliders Unlimited - Customization Pack 02,"Adds lots of customization options to your paint jobs: at least 20 paint textures of various styles, 4 new colors, 1 more paint command, and increased maximum metallicness and smoothness.",₹ 105,"27 Apr, 2022",Antti Mannisto,Antti Mannisto,"Casual, Indie, Racing, Simulation, Sports"
1479242,Turbo Sliders Unlimited - Customization Pack 03,"Adds lots of customization options to your paint jobs: at least 20 paint textures of various styles, 4 new colors, 1 more paint command, and increased maximum metallicness and smoothness.",₹ 105,"27 Apr, 2022",Antti Mannisto,Antti Mannisto,"Casual, Indie, Racing, Simulation, Sports"
1479243,Turbo Sliders Unlimited - Customization Pack 04,"Adds lots of customization options to your paint jobs: at least 20 paint textures of various styles, 4 new colors, 1 more paint command, and increased maximum metallicness and smoothness.",₹ 105,"27 Apr, 2022",Antti Mannisto,Antti Mannisto,"Casual, Indie, Racing, Simulation, Sports"
1479290,RESEARCH and DESTROY - Danganronpa 2 Costume Pack,Take on the horde of Supernaturals in style with this Danganronpa 2 costume pack.,₹ 125,"25 Apr, 2022",Implausible Industries,"Spike Chunsoft Co., Ltd.","Action, Casual, Strategy"
1479291,RESEARCH and DESTROY - STEINS;GATE Costume Pack,Take on the horde of Supernaturals in style with this STEINS;GATE costume pack.,₹ 125,"25 Apr, 2022",Implausible Industries,"Spike Chunsoft Co., Ltd.","Action, Casual, Strategy"
1479300,VR Hentai,Immerse yourself in the most extremely perverted VR with beautiful women! It's very much a realistic and naughty experience.,₹ 329,"3 Dec, 2020",Moonlight,Moonlight,Simulation
1479310,Spare Parts: Episode 1,"Lucy is an anxiety-ridden girl in desperate need of a job. But when she finally lands one, she gets entangled in the interpersonal problems of the people living in the giant basement underneath the shop. Who may or may not be robots.",₹ 125,"16 Dec, 2020",Sophie Rose,Sophie Rose,Casual
1479320,Bedroom Blackjack,A 3D hentai strip blackjack game that features 8 x fully animated dealers with boob physics and blends in dating sim and visual novel elements.,₹ 199,"31 Aug, 2021",InterLEWD Creations,InterLEWD Creations,"Casual, Indie, Early Access"
1479330,The Infinite Trial of a Hopeless Man Running,THE HOPELESS MAN MUST RUN FOREVER || HE IS NOT PERMITTED REST || TO STOP IS TO DIE || CONCLUSION IS INEVITABLE || MAKE A PEACE WITH THIS || THIS TRUTH IS ALL THERE IS || RUN,N/A,Coming soon,Vagabond Dog,Vagabond Dog,"Action, Early Access"
1479340,Derelict Void,Derelict Void is a space survival game involving scavenging for resources and base management. You command a ship and crew searching for resources you need to stay alive.,₹ 349,"18 Mar, 2021",Stirling Games,Stirling Games,"Adventure, Simulation, Strategy"
1479350,The Tower Of TigerQiuQiu Bomber Treasure,AboutYou finally found the treasure chest buried in the cave. The keys to the chest are on the guards. Blow open the walls with your bomb and find the treasure chest. Knock down the guard and get the key,₹ 155,"18 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1479360,Button Lock 2: Star Carrier,Can you solve the puzzle with the limited amount of moves? Explore the world map. Solve the levels with different gimmicks. Get stars by beating levels to explore more of the world map. Solve over 170 levels in this puzzle adventure game.,₹ 345,"27 Jun, 2022",Strive Continually,Strive Continually,"Adventure, Indie"
1479370,Pixel Game Maker Series Werewolf Princess Kaguya,"A stylish &amp; exciting action game! Journey through medieval Japan, rendered in beautiful pixel art, to reach the moon and defeat Mother Kaguya!",₹ 480,"20 Dec, 2020",SERIALGAMES Inc.,Gotcha Gotcha Games,"Action, Indie"
1479390,Alekon,"Photograph dozens of whimsical creatures, solving puzzles to get them to strike collectable poses! Then befriend them through unique quests and minigames, from snowflake design, to tuning and playing crystal harps, to organizing parties!",₹ 479,"12 Jun, 2021",The Alekon Company,The Alekon Company,"Adventure, Indie"
1479400,Riffle Effect,Action STG with 2 types of perspectives. Commence operations! His only partner “Rose” broke down from the impact of the spaceship’s crash landing. Find a way to repair Rose by defeating enemies with various skills and equipment!,₹ 519,"26 Apr, 2023",OutsiderKids Corp.,OutsiderKids Corp.,"Action, Adventure, Indie"
1479440,The Art of Per Aspera,"Through the use of NASA technologies, Tlön Industries has allowed players to step onto the surface of Mars from the comfort of home. Now you can get even closer to the planet’s surface with a stunning, digital artbook that features gorgeous art from Per Aspera.",₹ 105,"3 Dec, 2020",Tlön Industries,Raw Fury,"Indie, Simulation, Strategy"
1479460,Naginata,Run and jump! And hit the evil! Geisha stand up to unravel the mystery of Kyoto!,₹ 400,"3 Dec, 2020",Nacks Soft,Nacks Soft,"Action, Adventure, Casual, Indie"
1479470,Maniac Path 2,Maniac Path 2-this is the continuation of a crazy game about a maniac who has to kill a lot of his victims.,₹ 400,"9 Feb, 2021",SteveClay,SteveClay,"Action, Adventure, Indie"
1479480,Polity - Online Role Playing,"A social cross-platform MMORPG. Enjoy mastering skills, quests, achievements, puzzles, mini-games, crafting, and extensive customization. Take the first step to join this unique journey!",N/A,"27 Jun, 2024",JIB Games,JIB Games,"Massively Multiplayer, RPG, Simulation, Free To Play"
1479490,TERMINAL,"TERMINAL is a narrative puzzle adventure in which you guide a lost Terminal, Kwisi, to a mysterious signal. Make friends, enemies, and push through hardships and challenges as you make your way to the signal's origin. Embark on a fascinating journey and make connections you'll never forget.",N/A,Coming soon,North Pole,North Pole,"Casual, Indie"
1479500,Rail of Möbius,"It is an adventure game with multiple endings. An original script written by a well-known light novelist with a total of 400,000 words. With reasoning, suspense, love, and science fiction elements, it allows players to embark on a highly immersive journey of salvation on the submarine train.",₹ 419,"31 Aug, 2021",PHOSEPO,PHOSEPO,"Adventure, Casual, Indie"
1479510,Per Aspera Original Soundtrack,"Be transported to the red planet of Mars with the original accompaniment from Tlön Industries’ planet-builder, Per Aspera. IGF-winner, Tomas Batista, has scored the perfect Martian soundtrack to take you away to the unforgiving surface of the Red Planet.",₹ 345,"3 Dec, 2020",Tlön Industries,Raw Fury,
1479530,On Closer Inspection,"Experience the Australian War Memorial’s collection in VR! View and explore a Mark IV tank from WW1; a Hudson Bomber and an Avro Lancaster from WW2; the Adelaide Class Frigate; and the Bushmaster. Featuring video, audio, photos, and facts to bring to life the history of these important items.",N/A,"8 Dec, 2020",Catalyst VR,Australian War Memorial,"Casual, Free To Play"
1479540,Dragon Mission,"Order in Chaos is kidnapping all the leaders of Dragonia, only Calanguito can stop them. Your chance to become a hero you've always dreamed of, in this action-packed game.",₹ 250,"21 Jan, 2021",Ideal Games,Ideal Games,"Action, Indie"
1479610,Planeta,Planeta is a planet-building game where you can create and customize your planet as you wish! Main goal is to create conditions for humans to live and build a rocket ship and fly to the moon!,₹ 165,"15 Jan, 2021",Tomas Daugela,Tomas Daugela,"Indie, Simulation, Strategy"
1479630,Railway Empire - Japan,Japan’s long-term ambition to develop its own modern nation-wide railway network becomes a reality. People from formerly feudal regions are yearning to travel to booming metropolises.,₹ 749,"7 May, 2021",Gaming Minds Studios,Kalypso Media,"Simulation, Strategy"
1479710,The Line: Levels Pass,This DLC allows you to play all levels from the original game without unlocking them.,₹ 52,"20 Nov, 2020",PaulArt,PaulArt,Indie
1479750,KINESIS,"Kinesis is a new first-person single player puzzle platformer brought to you by Cosmic Key. Explore a new ancient sci-fi realm known as kinesis, solving mysteries behind your enigmatic powers left behind by the ancestors. Wield these powers to explore Kinesis, solving puzzles around kinetic energy.",₹ 349,"21 Dec, 2020",Cosmic Key,Cosmic Key,Action
1479760,NA.NO,"Pilot your nanobot to defy the bloodstream, the gravity and the physics, unlock new weapons and capabilities from special hormones captured along the way. Fight the various bacteria and menacing virus with a classic gameplay mechanic and save your organism from infection.",₹ 199,"20 Jan, 2021",Arcade Essence,Arcade Essence,"Casual, Indie, Early Access"
1479780,Our Apartment,"You're living your daily normal single life when you meet Naomi, a seemingly normal woman at a local café. Some time later, by accident, she suddenly ends up having to live with you! Experience your new day to day life as you build a relationship with her and experiment with new things!",N/A,Coming soon,Momoirosoft,Critical Bliss,"Casual, Simulation, Early Access"
1479790,Zombie Army 4: Night Ops Jun Outfit,"Jun is skilled at moving quickly and quietly, all while exhibiting deadly efficiency",₹ 155,"18 Feb, 2021",Rebellion,Rebellion,Action
1479791,Zombie Army 4: Nagant M1895 Pistol Bundle,"Quieter and more powerful than a conventional revolver, the Nagant M1895 is an absolute beast.",₹ 200,"18 Feb, 2021",Rebellion,Rebellion,Action
1479792,Zombie Army 4: Black Ice Weapon Skins,"With guns like this, you’ll be sure to stay frosty! Apply a stunning black ice sheen to your guns with these weapon skins",₹ 155,"18 Feb, 2021",Rebellion,Rebellion,Action
1479793,Zombie Army 4: Horror Charm Pack,"Add some extra fear to your firepower! With these Horror charms, you can really turn up the dread!",₹ 155,"18 Feb, 2021",Rebellion,Rebellion,Action
1479794,Zombie Army 4: 7.65mm Polizeipistole Pistol Bundle,"Originally manufactured for German police forces, the 7.65mm Polizeipistole is a favourite of super-spies everywhere.",₹ 200,"18 Feb, 2021",Rebellion,Rebellion,Action
1479800,Réussir : Code de la Route Spécial Moto (French Highway Code),Find the French Highway Code in this special version for motorbikes! Rediscover the French Highway Code in its version dedicated to motorbike licences! Find the training and exam sessions in a playful form and challenge your friends in a new minigame!,₹ 85,"20 May, 2021",Smart Tale Games,Microids,"Casual, Simulation"
1479810,Legendary Hoplite,"A combination of Action RPG and Tower Defense: slay monsters, find weapons, upgrade your armies, defend your base… Prevent humanity from extinction at the hands of monsters from Greek mythology and ancient tribes. Don't let them cross the gate, commander!",₹ 690,"2 Feb, 2024",TripleBricksGames,Ravenage Games,"Action, Adventure, Indie, RPG, Strategy"
1479830,Gem Deeps,"While chasing a stolen magic crystal, you discover an ancient underworld civilization. Explore this realm, fight its armies, and reveal its lore in this hand-painted, action-adventure platformer.",₹ 155,"21 Dec, 2020",Gemboi,Gemboi,"Action, Adventure, Indie, RPG"
1479840,Vidya Poker,"Video poker, enhanced with modern styling and features! Now with Deuces Wild! Relax and casually play, until you win big!",₹ 219,"20 Jul, 2021",coolnames,coolnames,"Casual, Strategy"
1479850,Chompy Chomp Chomp Party,The ultimate party game for up to 8 players! Join the chaos as you chomp your way to victory in this fast-paced and exciting multiplayer experience that's perfect for friends and family of all ages.,₹ 700,"17 Nov, 2022",Utopian World of Sandwiches,Utopian World of Sandwiches,"Action, Casual"
1479870,Schoolmates: The Mystery of the Magical Bracelet,"Long ago, a dark order of mages decided to wreak havoc upon the land but was kept at bay by another group known as the Selena order. Help the three young apprentices, Flex, Eva and Blondie to defeat a powerful mage in this incredible hidden object and point &amp; click adventure!",₹ 200,"11 Dec, 2020",GFI,HH-Games,"Adventure, Casual"
1479880,Role of Hex,"Role of Hex is a real-time strategy game where you defend your hexagonal base from the dangers of the universe. Gather upgrades and unlock special buildings to survive this hostile land as endless waves of enemies approach. But be quick, time is ticking and the waves are getting bigger.",₹ 480,"20 Feb, 2023",Verde,Verde,"Adventure, Indie, Strategy"
1479890,Inua - A Story in Ice and Time,"Inua is a narrative game in which three protagonists have their destinies intertwined decades apart in the same locations in the far north. Explore each era, collect ideas and manipulate their minds to change the course of history.",₹ 459,"10 Feb, 2022",The Pixel Hunt,ARTE France,"Adventure, Indie"
1479910,Monstrous Molecules,"Gregory and Victoria were on the verge of a breakthrough. Alas, their experiment has opened a series of portals and it's up to them to use their knowledge of chemistry to end the madness. Will they be able to overcome the hoards of monsters or find themselves the victims of an experiment gone awry?",₹ 349,"21 Dec, 2020",Digital Dream Labs,Digital Dream Labs,"Action, Indie"
1479930,Enyla X,"Elyna X is shoot'em up (Shmup) for 2 players in cooperative mode.The year is 3864, mysterious ships appear and iniciate a terrible attack against planet Earth, It is up to Enyla, a courageous space pilot, to lead the space fleets in defense of her beloved planet.",N/A,Coming soon,Revox Games,Revox Games,"Action, Indie"
1479940,Fragments,"Evan faces a frustrating battle with his conscience. It's one he cannot afford to lose, or he'll spend the rest of his life behind bars. Under intense scrutiny and questioning from two savvy detectives, how will he fare? That, is entirely up to you.",₹ 52,"20 Jan, 2021",codapill,codapill,"Adventure, Indie"
1479960,Arcus,Defend the village from invading enemies in this third person story based game!,N/A,"31 Dec, 2020",LWMedia,LWMedia,Action
1479970,Half-Cat,"Muni’s life is hard. She spends her days at a boring job, and at night returns to her unloved husband. Everything changes when Tayou appears in her life. Muni has to turn her life upside down and get to know herself from the most unexpected sides.",N/A,Coming soon,Blue Butterfly,Blue Butterfly,"Adventure, Casual, Indie, Simulation"
1479980,Dragon Saddle Melee,"Fight waves of enemy dragons and other players in chaotic, multiplayer, classic arcade action",₹ 199,"26 Jan, 2022",Main Tank Software LLC,Main Tank Software LLC,Action
1479990,Power of Two,"Local co-op fast-paced action game about pushing, dashing, and colliding. But there is always something more...",₹ 219,"5 Mar, 2021",MrJackphil,MrJackphil,"Action, Indie"
1480010,Christmas Stories: The Christmas Tree Forest Collector's Edition,Only you can save Christmas!,₹ 349,"15 Dec, 2020",Elephant Games,Big Fish Games,"Adventure, Casual"
1480030,A Way To Be Dead,"A Way to be Dead is an asymmetrical multiplayer (up to 5 players) horror game. Players can take on the role of killer, the victims, or even the undeads. Escape | Kill | Eat...",₹ 259,"23 Jul, 2021",Crania Games,Crania Games,"Adventure, Indie, Early Access"
1480040,Touhou Multi Scroll Shooting 2,A derivative work of Touhou project. Featuring dynamic camera. Blend from side scroll shooting and top-down shooting seamlessly.,₹ 399,"26 Oct, 2021",Skydash studio,Skydash studio,Action
1480050,Survival RPG: The Lost Treasure,"Survival RPG: The Lost Treasure is a retro RPG game with a survival twist. Let the treasure hunt begin! A journey in a one-of-a-kind adventure that combines exploration, RPG and survival in a 2D pixel art universe is waiting for you.",₹ 199,"9 Jan, 2021",Bew Games,Bew Games,"Adventure, Casual, Indie, RPG"
1480060,Poly Gangs,PolyGangs: A Sandbox LowPolly-style action game. Gangster simulator in a Polish city from the 90s. The game is in a fictional city where gang wars are common and the police always start shooting first. Meet Szczepan and his story.,N/A,Q3 2024,Farmind Studio, Polyslash,"Action, Indie, Simulation"
1480090,Basement Dweller,"Basement Dweller is a satirical first person game powered by daily routines and activities. After losing your job, you take every opportunity to earn money. While completing assignments you find yourself on the trail of a deadly drink produced by a mysterious man from the east. Can you handle it?",N/A,Coming soon,Code Meister,Code Meister,"Action, Casual, Indie, Simulation"
1480100,Manna for our Malices Soundtrack,This is the music used in the game Manna For Our Malices. Most of it was previously released by the group Infocalypse.,N/A,Coming soon,John Ohno,Double Mojo,
1480110,Bladam Topaz,Bladam Topaz is a quirky 2D Metroidvania platformer about a young man collecting evidence for his highly flawed and questionable solutions to various life problems. Join Bladam as he travels all across the world and build your case for why you think your way is the best way!,N/A,Coming soon,Umbraverse Games,Umbraverse Games,"Action, Adventure, Casual, Indie"
1480120,100 hidden eternals,Hidden object game in a surreal style. Black and white hand-drawn style. Animated puzzles. Mind blown.,₹ 85,"9 Dec, 2020",Anatoliy Loginovskikh,Anatoliy Loginovskikh,"Adventure, Casual, Indie"
1480130,Free-Bees,"A brick-breaker reimagined with hexagons, honey, and heavy-duty chains! Free the bees by chaining together projectiles in unique visual settings using new brick-breaker mechanics. Create &amp; share your own custom levels, chill with the freed-bees in the sanctuary, and, most importantly, FREE THE BEES!",N/A,Q4 2024,Alex Williams,Paranoid Panda Studio,Action
1480140,RPG Sounds,RPG Sounds is the best audio tool for Dungeon Masters and TTRPG Players.,N/A,"27 Jan, 2021",Cast n Play,Cast n Play,"Audio Production, Utilities"
1480190,Salyut π,"Salyut π is a FIRST PERSON SHOOTER, with a great ATMOSPHERE. This game this game is set in a futuristic base, all this with great GRAPHICS.",₹ 299,"5 Jan, 2021",Waleles,Waleles,"Action, Indie"
1480200,Chronicle: Unit Eight Original Soundtrack,"This is a standalone original soundtrack for Chronicle: Unit Eight, composed by the amazing Christoph Gray.",₹ 250,"12 Dec, 2020",Static City Games,Static City Games,
1480210,The Garden of Orilon,"Meet your engagements with the ones who keep watch on you. Your memories are sealed and soul binds to soft dolls. When the doll opens its eyes, the castle where it appears is under attack...",₹ 125,"8 Dec, 2020",EDanDan Studio,EDanDan Studio,"Action, Indie, RPG, Early Access"
1480220,Blob Person,An adventurous Blob Person is transported to a simulacrum of his own world. An enigmatic entity follows their every move. How did Blob Person get here? and why? Solve puzzles and overcome obstacles to uncover the truth of this strange place and escape.,N/A,,Inverted Games,On Tilt Interactive,"Action, Adventure"
1480230,Mortal Kombat 11 Klassic MK Movie Skin Pack,"The Klassic MK Movie Skin Pack includes character likeness &amp; voice from the 1995 film. Christopher Lambert as Protector of Earthrealm Raiden, Linden Ashby as Hollywood Kombatant Johnny Cage, and Bridgette Wilson-Sampras as Island Bound Sonya Blade.",₹ 329,"24 Nov, 2020",NetherRealm Studios,,Action
1480240,You Pilot A Piece Of S***: GAIDEN,You Pilot A Piece Of S***: GAIDEN is an in-depth examination of the turn-key stagnation most inherent in today's post-modern societal constructs...?,₹ 85,"13 Dec, 2020",Long Nguyen,Long Nguyen,"Action, Casual, Indie"
1480260,Rathe: The Beginning,"Turn based, party focused, elemental world, short story RPG.",₹ 569,"11 Jan, 2021",Fists Of Destiny Games,Fists Of Destiny Games,"Indie, RPG"
1480320,The Tower Of TigerQiuQiu Bomber The Rolling Stone,"AboutYou accidentally triggered a trap organ. From time to time there will be huge Rolling Stones in the cave, if crushed by the Rolling Stones, there is only one way to die. Watch out for arrow symbols, and the Rolling Stones will appear from here.",₹ 155,"21 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1480321,The Tower of TigerQiuQiu BOMBER The Falling Stone,"AboutThe cave looked like it was about to collapse, and the stones above my head began to fall. You will be hurt by being stoned, please be careful to move forward. Remember to destroy the enemy to get the keys, blow open the walls to get the treasure chest.",₹ 155,"21 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
